comment,cleaned_comment
What about when a volcano erupts? Is that a massive Co2/metan disaster for the climate?,volcano erupts massive cometan disaster climate
Hmmm. Do you think that all of the jets and bombs and explosions in WARS might be largely responsible at all? Just saying…,hmmm think jet bomb explosion war might largely responsible saying
"Climatards, lol.",climatards lol
"We already averted catastrophe, and it was a remarkably perfect, zero! 
In the 70s and 80s we saw it coming. America acted with emission policy and ban on things like Freon, aerosol hairspray etc. We averted the worst of the worst catastrophic climate predictions.",already averted catastrophe remarkably perfect zero saw coming america acted emission policy ban thing like freon aerosol hairspray etc averted worst worst catastrophic climate prediction
"If the world doesn't map out the way to create the durable wealth to pay for the infrastructure, it's time to go down to the Y and take swimming lessons and  stop whinnying!",world doesnt map way create durable wealth pay infrastructure time go take swimming lesson stop whinnying
Download Ecosia  💚,download ecosia
what can i say? it's catchy,say catchy
BS,b
We all are chasing for money.anyone no need to stop and nobody need to be content .finally we all are togeter digging our own graves.,chasing moneyanyone need stop nobody need content finally togeter digging graf
Oh my African people 😭😭😭😭,oh african people
Earth is not Sick...Earth is adjusting itself to eliminate man...,earth sickearth adjusting eliminate man
"Chinese electric vehicles are often marketed as environmentally friendly, yet they rely heavily on electricity generated from coal, making their true carbon footprint far from ""green."" While they produce no direct emissions, their operation is still largely powered by fossil fuels.  

Despite this, the Chinese Communist Party (CCP) promotes its EV industry as a leader in sustainability, conveniently ignoring the fact that China remains the world's largest carbon emitter. By branding these vehicles as ""eco-friendly,"" China profits from global environmental concerns while continuing to rely on coal.  

Moreover, the CCP has a long history of controlling information, from covering up the Tiananmen Square massacre, where 30,000 students were killed, to suppressing any narratives that challenge its official stance. As a result, many Chinese citizens genuinely believe their EVs are helping the environment, unaware of the broader reality.  

Consumers who truly care about sustainability should consider whether buying an EV powered by coal-generated electricity aligns with their values. Supporting products from countries that prioritize clean energy may be a more effective way to fight climate change.",chinese electric vehicle often marketed environmentally friendly yet rely heavily electricity generated coal making true carbon footprint far green produce direct emission operation still largely powered fossil fuel despite chinese communist party ccp promotes ev industry leader sustainability conveniently ignoring fact china remains world largest carbon emitter branding vehicle ecofriendly china profit global environmental concern continuing rely coal moreover ccp long history controlling information covering tiananmen square massacre student killed suppressing narrative challenge official stance result many chinese citizen genuinely believe ev helping environment unaware broader reality consumer truly care sustainability consider whether buying ev powered coalgenerated electricity aligns value supporting product country prioritize clean energy may effective way fight climate change
People want change and we should be working hard to meet the change that the climate and environment needs 👍👍,people want change working hard meet change climate environment need
"Normal people who are the consumers can’t do anything about the CC, the ones that can do something focus on two things primary: keeping the people poor so they can control them and keeping the people with fear so people can be manipulated.
Me and you we can’t do shit.",normal people consumer cant anything cc one something focus two thing primary keeping people poor control keeping people fear people manipulated cant shit
The stabil energi and a move dynam mechine for the to eternity where three unfade pleassan,stabil energi move dynam mechine eternity three unfade pleassan
Rumour has it that in five years  time we are all gonna need boats!,rumour five year time gon na need boat
"If you wish to switch from fossil fuels mankind needs to enable the solution to fix the shortcomings of the source of energy.  God gave mankind the source and 2 down stream steps that enabled energy to be stored, distributed, and called back on demand as needed.  Mankind will need to do likewise with another thing God  did for mankind in Genesis 1:26-28 make mankind in His likeness.  God gave us the privilege of ço-creating the world we live in.",wish switch fossil fuel mankind need enable solution fix shortcoming source energy god gave mankind source stream step enabled energy stored distributed called back demand needed mankind need likewise another thing god mankind genesis make mankind likeness god gave u privilege ocreating world live
Plss give me the summary of this video,plss give summary video
Biggest Scam in the History of Humanity,biggest scam history humanity
"June 18, 2024News Release
City Sprawl Now Large Enough to Sway Global Warming Over Land

Urban land now reaches farther than ever, and so too does its influence on global warming

Brendan Bane, PNNL Catie Himes, PNNL
The glowing orange Sun shines over a lightly hazy Paris, the Eifel Tower standing erect, just right of center-frame.
Open
Cities have grown quite a lot in recent decades—global urban land cover has swelled by 226 percent since 1992. As city sprawl expands its reach, its influence on the world's climate grows in tandem.",june news release city sprawl large enough sway global warming land urban land reach farther ever influence global warming brendan bane pnnl catie himes pnnl glowing orange sun shine lightly hazy paris eifel tower standing erect right centerframe open city grown quite lot recent decadesglobal urban land cover swelled percent since city sprawl expands reach influence world climate grows tandem
"Without having more products to spread the cost over of the required infrastructure the 1st world economies have no prayer to replace fossil fuels.
God gave mankind the source of energy and 2 steps down line.  Mankind will have design ways to store, distribute, make additional products to spread the cost of infrastructure over and increase the value of low value assets into durable high value ones.
It will take both Elon Musk and President Trump to enable all investors win to transfer from fossil fuels.  I would love to invite them to share my insight.",without product spread cost required infrastructure st world economy prayer replace fossil fuel god gave mankind source energy step line mankind design way store distribute make additional product spread cost infrastructure increase value low value asset durable high value one take elon musk president trump enable investor win transfer fossil fuel would love invite share insight
"Not human made but perhaps 5-10%. It is the current Magnetic Excursion that been on a straight line move since 1850. Distorting, weakening the magnetic field allowing the sun radiance of the sun to penitrate stronger into the planet. Thus the melting of the ice caps. It's nature, not humans. Polution is bad but not the cause. Adjust your narrative.",human made perhaps current magnetic excursion straight line move since distorting weakening magnetic field allowing sun radiance sun penitrate stronger planet thus melting ice cap nature human polution bad cause adjust narrative
"Wow that nice 
Wonderful 
Like from India",wow nice wonderful like india
I love cutie pie GA sheriff..not them..Did you know Chinas most polluted country?,love cutie pie ga sheriffnot themdid know china polluted country
If the Europeans will leave Africa alone there will be nothing like climate change,european leave africa alone nothing like climate change
"*""In the last 30 years, CO2 emissions have increased by 60 percent worldwide. The most pressing problem facing our civilization is global warming.""*  Except that data proves, we've never been safer, healthier or more prosperous than at any time in history.",last year co emission increased percent worldwide pressing problem facing civilization global warming except data prof weve never safer healthier prosperous time history
"“Global warming” refers to the rise in global temperatures due mainly to the increasing concentrations of greenhouse gases in the atmosphere. “Climate change” refers to the increasing changes in the measures of climate over a long period of time – including precipitation, temperature, and wind patterns.",global warming refers rise global temperature due mainly increasing concentration greenhouse gas atmosphere climate change refers increasing change measure climate long period time including precipitation temperature wind pattern
"You talk about russia and global warming, but the russians are killing humanity without the impact of global warming.",talk russia global warming russian killing humanity without impact global warming
Hydro energy isn’t green,hydro energy isnt green
Poor doesn’t care about the climate change. Only rich do.,poor doesnt care climate change rich
"But Al Gore told us the poles would melt by 2015? The polar bears would disappear???

But I am under 30 feet of snow in california in 2025???",al gore told u pole would melt polar bear would disappear foot snow california
Climate change means Jesus Christ is coming back.,climate change mean jesus christ coming back
A year later and  it’s looking like the small progress made is being rolled back. The course is set and our ultra cynical governments are preparing to accept the destruction and keep on fighting to dominate whatever they imagine will left from the dystopia. Trump wanting to confiscate Greenland being a prime example of this moronic vision…,year later looking like small progress made rolled back course set ultra cynical government preparing accept destruction keep fighting dominate whatever imagine left dystopia trump wanting confiscate greenland prime example moronic vision
"Watching this I am asking myself, do any of these smart individual remember the carbon cycle and all the components in it. 
Do they remember that trees are responsible to take carbon dioxide out of the atmosphere and return Oxygen.
Is it not smarter to invest all those billions in replanting back trees in areas and countries where desert exist.
For those who is even thinking about mention, how trees take a 1000 years to grow. 
I am asking you, did you ever plant a tree? 
A forest tree takes about 7- 14 days for it's seed to germinate and will take about 3 - 4 years to reach an average height of 15 - 20 feet. 
I know because I proven this.
If we all know that trees are the natural remover of carbon dioxide, why is the billions not being invested to replant them?",watching asking smart individual remember carbon cycle component remember tree responsible take carbon dioxide atmosphere return oxygen smarter invest billion replanting back tree area country desert exist even thinking mention tree take year grow asking ever plant tree forest tree take day seed germinate take year reach average height foot know proven know tree natural remover carbon dioxide billion invested replant
What a difference a year makes.,difference year make
Helicoptering water in when theres pipes on the tank do you think were all blind.,helicoptering water there pipe tank think blind
"Rising sea levels... Tropical rain  are you guys joking 
How long can this story go on for",rising sea level tropical rain guy joking long story go
"How do all these experts, know how bad the weather was 300/4,5 hundred years ago??? They don’t.. They can look at the earth, and give their carbon dating! But what will be will be.",expert know bad weather hundred year ago dont look earth give carbon dating
"😂😂😂
So the rain deer and horses are different from cows?",rain deer horse different cow
"why are you lying to the children about climate change when all climates on sarth have evolved over time and have stayed the same since before fossil fuels were used?
find courage to tell the truth. show videos of polar ice melting as well as forming. don’t claim they are melting for so long and yet never stop melting.",lying child climate change climate sarth evolved time stayed since fossil fuel used find courage tell truth show video polar ice melting well forming dont claim melting long yet never stop melting
...and the poor ofteen  pray for soft winter ans long and prosper sumers,poor ofteen pray soft winter an long prosper sumer
"Overpopulation is the problem in the 3rd world, not climate change.",overpopulation problem rd world climate change
I used to think climate change was a myth. As a kid remembered the glaciers had way more ice. But its melting at a rapid pace.,used think climate change myth kid remembered glacier way ice melting rapid pace
We have to put it on hold for the next 4 years .Some big players are climate change deniers !!!,put hold next year big player climate change denier
Hola,hola
"I'm okay with government policy based on science, on fact. But I object to policies based on this climate change propaganda nonsense. The small changes happening over the last few hundred years are natural, not human caused. What we need to focus on, as we have, is pollution prevention, management of natural resources. CO2 is required for life on the planet, if you remember high school science. CO2 circulates between the ground, ocean and atmosphere. We are coming off a planet low of CO2 and would be better with more for higher plant food production. Water vapor is the dominant greenhouse gas, basic science. Look in your car radiator, no CO2, but water for heat transfer and storage.",im okay government policy based science fact object policy based climate change propaganda nonsense small change happening last hundred year natural human caused need focus pollution prevention management natural resource co required life planet remember high school science co circulates ground ocean atmosphere coming planet low co would better higher plant food production water vapor dominant greenhouse gas basic science look car radiator co water heat transfer storage
"You can't even stop diesel vehicles production,and missle tezt",cant even stop diesel vehicle productionand missle tezt
God help us,god help u
The biggest scam of the 21st century! LOL,biggest scam st century lol
"Load of hot air. Climate change has been happening since the world existed. Minuscule (and unproven) rise in global temperatures of less than one degree in 100 years (with potentially 20 percent due to human influence) has more to do with cleaner air and lesss smoke. In any case, I wish it would heat up a bit more. I would burn more carbon to assist this process if I didn’t know it would have no effect whatsoever. At least the ISA will escape this nonsense when Trump puts a line through it. Europe will not be so lucky and will continue to pay for nothing and continue to ruin their own manufacturing and industry.",load hot air climate change happening since world existed minuscule unproven rise global temperature less one degree year potentially percent due human influence cleaner air lesss smoke case wish would heat bit would burn carbon assist process didnt know would effect whatsoever least isa escape nonsense trump put line europe lucky continue pay nothing continue ruin manufacturing industry
"A Climate Remediation Suggestion

	There is a lot of discussion about Global Warming, whether it really exists, how serious a threat and the role of Carbon Dioxide. However, the following is generally agreed. Namely that a lot of CO2 has been released into the atmosphere since the start of the Industrial Revolution and a lot of it has ended up in solution in sea waters. There is at least 150 times as much CO2 in a cubic meter of sea water as there is in a cubic meter of atmosphere at NTP. This is acidifying the sea waters and possibly harming Coral Reefs and other fauna. There has also been some agreement that the Temperature of the Earth has warmed somewhat.
	The Earth's rotation and the Coriolis Effect has formed a number of Tropical/Semi-Tropical Oceanic Gyres, within which the mass of sea water is rotating, clockwise in the Northern Hemisphere and counter clockwise in the Southern Hemisphere. Anything floating, i.e., less dense than sea water tends to float towards the center of the Gyre. There are five main Gyres all of which are Tropical/Semitropical. They are the North Pacific, South Pacific, Indian, North Atlantic, and South Atlantic Oceans. Together they form a very large proportion of the 70% of the Earth's surface which is covered by water.
	The North Pacific has a lot of floating debris, ""the Great Pacific Garbage Patch"", some of it being debris washed off Japan by tsunamis following the recent Fukishima Earth Quake. The Southern Hemisphere Gyres do not appear to contain much floating debris.
	The North Atlantic Gyre is unique. It contains the Sargasso Sea which is characterized by the presence of two species of Sargassum which float by virtue of oxygen-filled follicles. It was discovered (first documented) by Columbus from his voyage in 1492. There is a Sargasso Sea Commission, with an Office in Washington DC, which is charged with protecting the Sargasso Sea from pollution etc. There is a website that basically describes all of the positive ecological values of the Sea.
	Since 2011 the Sargassum appears to be overflowing from the Sargasso Sea and moving via the west bound currents across the north coast of South America into the Caribbean and sometimes into the Gulf of Mexico. This has been attributed to agricultural run off from the USA or Brazil but might be due to the increased levels of CO2 in solution.
	It has been washing up on beaches through out this region, as one might expect to happen. When it dies and rots it emits H2S. Since a lot of these beaches have tourism as their main industry, the weed has to be removed manually which has given Sargassum a bad name. There are several Facebook entities that keep track of Sargassum landings and there are frequent postings enquiring about Sargassum occurrence on specific tourist areas.
	The occurrence of Sargassum in the Caribbean would, however, make it very easy to put live Sargassum into the Pacific off the west coast of Mexico. From there the currents would carry it all the way across the Pacific, photosynthesizing and growing all the way absorbing a lot of CO2 and heat energy, photosynthesis is an endothermic reaction. Absorbing CO2 from the Ocean would allow CO2 from the Atmosphere to dissolve in the sea. The Sargassum would probably stay in the North Pacific Gyre but some might drift into the South Pacific.
	One might balk at the idea of covering a lot of the Oceans with Sargassum but it does have uses. It can be used to make ethanol, paper or cardboard. Some one in the Caribbean is making construction bricks from it and others are feeding it to goats..
	If there appears to be some benefit from Pacific Sargassum we could easily add Sargassum to the other Gyres using ships that are transiting the Panama Canal. It seems likely that some Sargassum will eventually get into the South Atlantic Gyre, but that may take a while.

I would welcome any thoughts. Robert O Ducharme (rodincus@aol.com).",climate remediation suggestion lot discussion global warming whether really exists serious threat role carbon dioxide however following generally agreed namely lot co released atmosphere since start industrial revolution lot ended solution sea water least time much co cubic meter sea water cubic meter atmosphere ntp acidifying sea water possibly harming coral reef fauna also agreement temperature earth warmed somewhat earth rotation coriolis effect formed number tropicalsemitropical oceanic gyre within mass sea water rotating clockwise northern hemisphere counter clockwise southern hemisphere anything floating ie less dense sea water tends float towards center gyre five main gyre tropicalsemitropical north pacific south pacific indian north atlantic south atlantic ocean together form large proportion earth surface covered water north pacific lot floating debris great pacific garbage patch debris washed japan tsunami following recent fukishima earth quake southern hemisphere gyre appear contain much floating debris north atlantic gyre unique contains sargasso sea characterized presence two specie sargassum float virtue oxygenfilled follicle discovered first documented columbus voyage sargasso sea commission office washington dc charged protecting sargasso sea pollution etc website basically describes positive ecological value sea since sargassum appears overflowing sargasso sea moving via west bound current across north coast south america caribbean sometimes gulf mexico attributed agricultural run usa brazil might due increased level co solution washing beach region one might expect happen dy rot emits h since lot beach tourism main industry weed removed manually given sargassum bad name several facebook entity keep track sargassum landing frequent posting enquiring sargassum occurrence specific tourist area occurrence sargassum caribbean would however make easy put live sargassum pacific west coast mexico current would carry way across pacific photosynthesizing growing way absorbing lot co heat energy photosynthesis endothermic reaction absorbing co ocean would allow co atmosphere dissolve sea sargassum would probably stay north pacific gyre might drift south pacific one might balk idea covering lot ocean sargassum us used make ethanol paper cardboard one caribbean making construction brick others feeding goat appears benefit pacific sargassum could easily add sargassum gyre using ship transiting panama canal seems likely sargassum eventually get south atlantic gyre may take would welcome thought robert ducharme rodincusaolcom
Climate change are man made n not important to the world organization  if it was important the world organization must hire people to plant trees on desert,climate change man made n important world organization important world organization must hire people plant tree desert
Over population.  Over consumption.  Ignorance.  Don't want to be a doomer but am and it's rough on my mental well-being.,population consumption ignorance dont want doomer rough mental wellbeing
What if the earth is trying to wipe out humanity so it can have a fresh start away from the bs people have done,earth trying wipe humanity fresh start away b people done
"Climate change refers to significant and lasting changes in the Earth's climate, especially an increase in temperature and changes in weather patterns, primarily due to human activities like burning fossil fuels, deforestation, and industrial processes.The primary greenhouse gases that are currently increasing in the atmosphere due to human activities are carbon dioxide (CO2), methane (CH4), and nitrous oxide (N2O)

1. Burning fossil fuels
2. Cutting down forests
3. Farming livestock
are all increasingly influencing the climate and the earth's temperature. This adds enormous amounts of greenhouse gases to those naturally occurring in the atmosphere, increasing the greenhouse effect and global warming.",climate change refers significant lasting change earth climate especially increase temperature change weather pattern primarily due human activity like burning fossil fuel deforestation industrial processesthe primary greenhouse gas currently increasing atmosphere due human activity carbon dioxide co methane ch nitrous oxide burning fossil fuel cutting forest farming livestock increasingly influencing climate earth temperature add enormous amount greenhouse gas naturally occurring atmosphere increasing greenhouse effect global warming
"Global South ,inhabited by poor, is facing the brunts of climate change created by luxury loving so-called developed countries.All the europeans ,americans ,Russians are climate criminals.",global south inhabited poor facing brunt climate change created luxury loving socalled developed countriesall european american russian climate criminal
Global warming is the sign of the end times,global warming sign end time
Could global warming wait 40 years more to make sure I am dead  .,could global warming wait year make sure dead
They just told a story about the California fires there was 100 trucks that were supposed to be repaired that we're not there was 20 million diverted from the fire prevention fund the water hydrants ran out of water because they rejected the bill to get millions of gallons of water per day and pushed it to the ocean instead. This is not climate change problem it's stupidity or just evil.,told story california fire truck supposed repaired million diverted fire prevention fund water hydrant ran water rejected bill get million gallon water per day pushed ocean instead climate change problem stupidity evil
"Isn't it strange how the wealthiest people that shout loudest about climate change (co2 damage, rising sea levels, etc) all fly around in private jets, own mega-yachts, have multiple homes, many of them on beach fronts...",isnt strange wealthiest people shout loudest climate change co damage rising sea level etc fly around private jet megayachts multiple home many beach front
"Peace be upon you
This is my new mindset for 2025
The truth about life...
We would've not made it through if we weren't courageous...
Struggling to survive and reprocreate is what all creatures on the earth are trying to accomplish for which thoes two main tasks can give the sense of fulfillment throughout their lives...
There's no perfect moment but the present moment in which the future is its product. We will do our best in the moments of necessity as if the whole life is depended on how we act in that very moment. We can predict and prepare or we will be the victim. We can either choose the way of discipline or regrets. At the end, our life is what we give energy to.",peace upon new mindset truth life wouldve made werent courageous struggling survive reprocreate creature earth trying accomplish thoes two main task give sense fulfillment throughout life there perfect moment present moment future product best moment necessity whole life depended act moment predict prepare victim either choose way discipline regret end life give energy
We must try our best to save our world regardless of how successful or defeated our attampts are going to turn out,must try best save world regardless successful defeated attampts going turn
"In the land where roots embrace the earth,  
We plant with hope, for what's of worth.  
Beyond the smoke, the sky we mend,  
Where nature’s heart and us transcend.  
With every seed, a life will grow,  
A step toward peace, where winds will blow.",land root embrace earth plant hope whats worth beyond smoke sky mend nature heart u transcend every seed life grow step toward peace wind blow
"We in the third world country’s don’t give a rats ass about climate change!! We barely make a foot print while your steal our resources right under our noses!! Climate WILL CHANGE!! How are you going to reverse something that you said took 10,000 yrs to form?! You NOT!! It’s a cycle… let us enjoy life and let nature takes its course",third world country dont give rat as climate change barely make foot print steal resource right nose climate change going reverse something said took yr form cycle let u enjoy life let nature take course
"What is Global warming? The sky not warming- up you say it's our emissions in the atmosphere and how that creating global warming?The moon rotate around Earth (pulling) from the south- pool out to space,
 There is a lot of heat from transportation businesses homes but still not enough,It's 
not liquid for fuel cause it already Burnt can't feed the Sun, Perhaps it's from removing the Oil when we remove the Oil we make room for the inner-core to grow since we been removing the Oil over 1000 Volcanoes don't work were does the Lava go?
Tornadoes Hurricanes tsunamis are fromed because We removing the Oil trapping Air drying out the land we live on and the Ocean floors are the thinnest think about it!!!
All circular in pattern (Proverbs 21 20)",global warming sky warming say emission atmosphere creating global warmingthe moon rotate around earth pulling south pool space lot heat transportation business home still enoughits liquid fuel cause already burnt cant feed sun perhaps removing oil remove oil make room innercore grow since removing oil volcano dont work lava go tornado hurricane tsunami fromed removing oil trapping air drying land live ocean floor thinnest think circular pattern proverb
"Love the projects! It's fantastic that 90% of planted trees were still there at that visit.

I wonder if you couuld report on the contribution of animal agriculture which causes at least 87% of climate change counting the opportunity cost of grazing over nature.",love project fantastic planted tree still visit wonder couuld report contribution animal agriculture cause least climate change counting opportunity cost grazing nature
Tell me next your heating time my junior said it is 12th i can take back things that you have lost.,tell next heating time junior said th take back thing lost
Dreaming in techno colour.,dreaming techno colour
Stop manufacturing weapons?,stop manufacturing weapon
You need to  stop volcanic eruptions witch is the problem.  They dump way more carbon than man. They have been off the chart the last 80 years.  So we are doomed even if we could  do zero emissions.,need stop volcanic eruption witch problem dump way carbon man chart last year doomed even could zero emission
Sss,ss
The greedy rich climate change deniers don't care as long as they make more money while they can. They won't be around to feel the devastation they caused. Everyone else is paying the price trying to slow down and maybe stop the destruction.,greedy rich climate change denier dont care long make money wont around feel devastation caused everyone else paying price trying slow maybe stop destruction
"Al Gore's (US vise president 1992-2020) successful war on science and scientists maybe coming to an end.  This video has the United Nation’s Climate Change disclaimer.  Global warming was officially reported at 1.1°C in 1991 and 1.06°C in 2022.   There has been no climate change due to global warming.  Global warming at 1.5°C was predicted to begin climate change with stronger observable hurricanes in the Gulf-of-Mexico.  The cause of global warming is not know in 2024 despite decades of science studies going back to the 1970s.

It is scientifically impossible for greenhouse gas behavior to cause global warming.  Before Al Gore became US vise president in 1992 earth's water vapor saturated greenhouse effect was taught in US public education.   

All the greenhouse radiant energy from the earth is completely absorbed in earth's water vapor saturated greenhouse effect by greenhouse gases within a few meters of the radiating surface out to a maximum of 20 meters from the radiating surface adding 5.55°C (10°F) to earth’s average temperature.  Its further heat transfer is by convection i.e. gas molecules bumping into to each other.   At 1% average tropospheric water vapor over a 99% share of earth's water vapor saturated greenhouse effect is from water vapor.

The back of the United Nation's Intergovernmental Panel on Climate Change (IPCC) science report states it took its greenhouse gas samples at 20,000 meters altitude where it is common high school level knowledge there is no greenhouse radiant energy.  This is typical practice for deceptive marketing to state legal data transparency protecting the perpetrators from fraud prosecution.   The IPCC has been transparent with its data acknowledging it is not dealing with active greenhouse gases.  

Earth's greenhouse effect is frequently used as a primary example to high school students of a system always in saturation from the strong greenhouse gas water vapor absorbing all the greenhouse radiant energy from the earth with greenhouse gases within 20 meters of the radiating surface that is all around us everyday and can't have its overall effect changed.  There is no further greenhouse radiant energy to interact with greenhouse gases.  

0.4% of the atmosphere is CO2 and on average 1% is H20 water vapor.   (1% H20)/(0.4% CO2) = 25.  Water vapor is 25 times more present in the atmosphere on average than CO2.   Water vapor has an CO2e of 18,  18 X 25 = 450 CO2e total for water vapor to 1 CO2e for CO2. 

Arctic warming is taking place with the proving mechanism being warm Atlantic Ocean waters migrating deeper and more frequently into the Arctic Ocean warming it and the region.   The warmer Arctic Ocean water is causing a few weeks less of reflective snow and ice surface cover resulting in more solar heat gain to the Arctic region surface.

Atmospheric CO2 levels of 1200 ppm about three times what they are today would greatly invigorate C3 plants the majority of plant life on earth greatly greening the planet.  C3 plants evolved over 100 million years ago when atmospheric CO2 levels were ten times those of today determined by plant fossils.

The Earth’s oceans have 3-1/2 million sea floor volcanic vents warming the water and changing it’s chemistry that have not been systematically accounted for.

There has been no credible Climate Change due to global warming as of 2024.  Climate Change was expected to start to take place when global warming reached 1.5°C causing observable stronger hurricanes in the Gulf-of-Mexico.  The term Climate Change started being used at the beginning of the 1980s to cause alert to a broad audience of the long term effects of increasing average global temperatures.  

The promotional term Climate Change in the early 1980s was grounded on actions already taken by Gulf-of-Mexico offshore crude oil drilling companies in the 1970s to build for stronger hurricanes due to warmer Gulf waters predicted to start when average global temperatures increased 1.5°C on track for 2010.  That action was taken for a predicted long term change in weather patterns or climate that backed up the use of the term Climate Change.",al gore u vise president successful war science scientist maybe coming end video united nation climate change disclaimer global warming officially reported c c climate change due global warming global warming c predicted begin climate change stronger observable hurricane gulfofmexico cause global warming know despite decade science study going back scientifically impossible greenhouse gas behavior cause global warming al gore became u vise president earth water vapor saturated greenhouse effect taught u public education greenhouse radiant energy earth completely absorbed earth water vapor saturated greenhouse effect greenhouse gas within meter radiating surface maximum meter radiating surface adding c f earth average temperature heat transfer convection ie gas molecule bumping average tropospheric water vapor share earth water vapor saturated greenhouse effect water vapor back united nation intergovernmental panel climate change ipcc science report state took greenhouse gas sample meter altitude common high school level knowledge greenhouse radiant energy typical practice deceptive marketing state legal data transparency protecting perpetrator fraud prosecution ipcc transparent data acknowledging dealing active greenhouse gas earth greenhouse effect frequently used primary example high school student system always saturation strong greenhouse gas water vapor absorbing greenhouse radiant energy earth greenhouse gas within meter radiating surface around u everyday cant overall effect changed greenhouse radiant energy interact greenhouse gas atmosphere co average h water vapor h co water vapor time present atmosphere average co water vapor coe x coe total water vapor coe co arctic warming taking place proving mechanism warm atlantic ocean water migrating deeper frequently arctic ocean warming region warmer arctic ocean water causing week less reflective snow ice surface cover resulting solar heat gain arctic region surface atmospheric co level ppm three time today would greatly invigorate c plant majority plant life earth greatly greening planet c plant evolved million year ago atmospheric co level ten time today determined plant fossil earth ocean million sea floor volcanic vent warming water changing chemistry systematically accounted credible climate change due global warming climate change expected start take place global warming reached c causing observable stronger hurricane gulfofmexico term climate change started used beginning cause alert broad audience long term effect increasing average global temperature promotional term climate change early grounded action already taken gulfofmexico offshore crude oil drilling company build stronger hurricane due warmer gulf water predicted start average global temperature increased c track action taken predicted long term change weather pattern climate backed use term climate change
"Poor people: we lost our homes, our lively hoods..
Rich people: we can’t do our extreme sports anymore 🥲",poor people lost home lively hood rich people cant extreme sport anymore
🇰🇷🌸🌸🌸🌍Shincheonji Words 150countries Pastor MOU Signing,shincheonji word country pastor mou signing
"This is only the current challenge. With the permafrost melt, many bacteria and virus that were sequestered during the mini-ice age, are now releasing from the stasis.
Begin to imagine pure methane leaking out from the underside of Antarctic ice shelves where they meet land. Virtually unreachable for the purpose of mitigation. 1°C. Will continue the erosion and widen the gap from which the methane exudes. Sequestering this source is beyond man's hand. Ask you local scientist how long you have before the ... Inevitable🫥",current challenge permafrost melt many bacteria virus sequestered miniice age releasing stasis begin imagine pure methane leaking underside antarctic ice shelf meet land virtually unreachable purpose mitigation c continue erosion widen gap methane exudes sequestering source beyond man hand ask local scientist long inevitable
"What foolish lifestyle Europe has given to third world countries and they are following their high standards of life and now they are talking about climate changes. 
Who made this industrial revolution?
Who is selling the boms and missile to third world, 
Who used atom bomb in wars ?
Now you are talking about climate changes..",foolish lifestyle europe given third world country following high standard life talking climate change made industrial revolution selling boms missile third world used atom bomb war talking climate change
Could cloud seeding help where there isn’t enough rainfall? would this not increase water in river banks etc?,could cloud seeding help isnt enough rainfall would increase water river bank etc
All climate & peace activists unite in 1 voice ❤✊️🌎,climate peace activist unite voice
More doom and gloom 🙄,doom gloom
"African we are suffer of global warming. But our countries do not produced high CO2 comparatively European and Asian countries. Each european and Asia country most pay us the tax of contamination, and climate change.",african suffer global warming country produced high co comparatively european asian country european asia country pay u tax contamination climate change
"According to the "" For Heaven's sake"" report video! , nuclear power is being used to launch satellites it would be illigal on earth but because space is not regulated these corporation's are using this loophole which is damaging the O zone layer and accelerating climate change! 
Also when all the satellites crash into each other it will create darkness and a toxic soup !",according heaven sake report video nuclear power used launch satellite would illigal earth space regulated corporation using loophole damaging zone layer accelerating climate change also satellite crash create darkness toxic soup
"Co2 makes up 0.04% of the atmosphere and all plant life/trees die at 0.02%, how much lower do you want Co2 levels to be? One active volcano puts more Co2 in one week than the entire population in a year. Is this about climate change or carbon tax/control/scare mongering? Just stop with the lies.",co make atmosphere plant lifetrees die much lower want co level one active volcano put co one week entire population year climate change carbon taxcontrolscare mongering stop lie
"not climate change is to fear ,but the establishment of the anthropogenic digitally surveilled climate-dictatorship society",climate change fear establishment anthropogenic digitally surveilled climatedictatorship society
"Rich don,t suffer from climate.Agenda politics as much asd poor",rich dont suffer climateagenda politics much asd poor
"I've watched many climate change programs, and none of them mention geoengineering hmmmmm wonder why that is",ive watched many climate change program none mention geoengineering hmmmmm wonder
Since I was born the change in climatic patterns made me question deforestation and the abuse of rich fertile land for construction. Climate change is real.,since born change climatic pattern made question deforestation abuse rich fertile land construction climate change real
"I saw the full video which showed the worldwide climate change and the reasons for those changes apart from this showed the people who are suffering through the changes. I surmise that, a significant number of climate changes occur by humans.",saw full video showed worldwide climate change reason change apart showed people suffering change surmise significant number climate change occur human
"I really enjoyed this video and appreciate the effort put into discussing such an important topic. However, I’m curious about the balance between urgency and practical solutions. It seems like a lot of proposals could hurt the economy, especially for communities that rely on fossil fuels. How do we ensure that we’re not pushing people into hardship while trying to save the planet?",really enjoyed video appreciate effort put discussing important topic however im curious balance urgency practical solution seems like lot proposal could hurt economy especially community rely fossil fuel ensure pushing people hardship trying save planet
"On the upside, if climate change is caused by humans population decline will fix the problem.  👍",upside climate change caused human population decline fix problem
"Storing CO2 underwater? Like, really? They're forcing yet another catastrophe.",storing co underwater like really theyre forcing yet another catastrophe
"1:07:15 had fallen, not fell sorry, I had to tell you.",fallen fell sorry tell
