comment,cleaned_comment
Great perspective!  I really appreciated this.  I totally agree that hard choices forge our agency and individuality.  This is what philosophy is about 👊🏻,great perspective really appreciated totally agree hard choice forge agency individuality philosophy
I thought this was brilliant. The premise as I took it is that decisions should be based on personal values and be more about the kind of person you want to become vs. an optimal solution. The problem I still have is what if you have to juxoppose two mutually exclusive values when you want to embody both. That is difficult but then again this is where she is talking about having to define yourself one way or the other.,thought brilliant premise took decision based personal value kind person want become v optimal solution problem still juxoppose two mutually exclusive value want embody difficult talking define one way
"Wow, thanks, I'm still indecisive but smarter 😂",wow thanks im still indecisive smarter
Gave me anxiety to hear to her blurb about only problems of hard choices for 5 straight minutes!,gave anxiety hear blurb problem hard choice straight minute
Liar,liar
that was so profound.,profound
Not Esther Perel lurking in the audience,esther perel lurking audience
Waow I don't know what do say.This monologue made me speechless.I've been trying to decide about my Erasmus program during last few weeks.And this speech made me feel in control and helped me a lot.Thanks to Ruth Chang :),waow dont know saythis monologue made speechlessive trying decide erasmus program last weeksand speech made feel control helped lotthanks ruth chang
"Hard-choice is still just a choice. It's only hard to choose if we don't know the end goal, who we are, or where we are supposed to be. 

But if you already know, it'll be easy, cause if it's still going there anyway any option is fine.
Maybe pick the one that's faster, or slower, closer or further, depending on our own taste which comes from how we define ourselves. 

You might like it slow and enjoy the process or fast and just get to the end point.
It's all up to you and your definition.

Just don't forget to celebrate options, choices and variety. They are simply an existence of an opportunity to define who we are.",hardchoice still choice hard choose dont know end goal supposed already know itll easy cause still going anyway option fine maybe pick one thats faster slower closer depending taste come define might like slow enjoy process fast get end point definition dont forget celebrate option choice variety simply existence opportunity define
that's one way of reinventing the wheel of antahkarana,thats one way reinventing wheel antahkarana
"You've helped me, Ruth",youve helped ruth
I wonder if Iain McGilchrist has seen this.,wonder iain mcgilchrist seen
You can happily skip until @6:45 to get to the core of the presentation,happily skip get core presentation
Hard choices are that’s way hard because we made it hard in our mind and we don’t want to take risks and instead of what we want and to be…,hard choice thats way hard made hard mind dont want take risk instead want
AWESOME,awesome
Its nice to see Esther Perel as one of the audience in this very meaningful talk,nice see esther perel one audience meaningful talk
中国語で、謝謝とは。   神様に感謝する。  神様は、人生の先生。 International なのです。  意味は、善い太陽神。,international
"It's not that there is no best choice among multiple options; it’s that we are incapable of ever knowing which choice it is. 

Perhaps God does.

The stumbling block for us is our belief that we can ever know which was which. All that we can know is whether our choice worked out well for us or not. But we can never know it was the better or worse choice.

Like in the parable of the Chinese farmer and his son. Wherein every day something happens to the farmer and his son and every day his neighbors come and pronounce judgment on the event. ""Too Bad,” they say one day about one event. Then,  “How lucky you are,"" the next day about a different event. After each pronouncement the farmer ambivalently replies, “We'll see."" With each new day revealing the neighbors' judgments, no matter what they were, were wrong.",best choice among multiple option incapable ever knowing choice perhaps god stumbling block u belief ever know know whether choice worked well u never know better worse choice like parable chinese farmer son wherein every day something happens farmer son every day neighbor come pronounce judgment event bad say one day one event lucky next day different event pronouncement farmer ambivalently reply well see new day revealing neighbor judgment matter wrong
Who to merry? that's everyday a big one for me ;),merry thats everyday big one
"– it’s a mistake to think that in hard choices one alternative is better than the other 
– we tend to assume that scientific thinking holds the key to everything of importance in our world, but the world of VALUE is different from the world of SCIENCE. So there is no reason to believe that in choice there are only three possibilities: one is better, worse or equal to the other.
– hard choices -> alternatives are ‘on a par’, in the same league of value, that’s why the choice is hard
– each of us has the power to create reason
– in a world where there is a ‘best’ option, we’re slaves to reasons
– when we create reasons for ourselves rather than reasons given to us we wholeheartedly become the people we are
– instead of looking for reasons out there we should look for reasons within. Who am I to be? 
– looking at it this way hard choices are not a curse but a godsend",mistake think hard choice one alternative better tend assume scientific thinking hold key everything importance world world value different world science reason believe choice three possibility one better worse equal hard choice alternative par league value thats choice hard u power create reason world best option slave reason create reason rather reason given u wholeheartedly become people instead looking reason look reason within looking way hard choice curse godsend
It made stronger !!!😊,made stronger
This is a great talk. I found it useful before making an important decision.,great talk found useful making important decision
Las elecciones múltiples son oportunidades de crear nuestras propias razones😊,la elecciones mltiples son oportunidades de crear nuestras propias razones
Great!,great
Instagram se kon kon aaya like karo,instagram se kon kon aaya like karo
yeah i understand this is what it means i have either the choice to stay a droppout or to do something great with my life i mean i already made 3 bad choices and ect.  one promiscousness second dropout of gary the third one is not really a bad choice is more on deciding what i want to do... rn i am a custodian n ect...my option is what til i get approval or denial on disability or go back to ged,yeah understand mean either choice stay droppout something great life mean already made bad choice ect one promiscousness second dropout gary third one really bad choice deciding want rn custodian n ectmy option til get approval denial disability go back ged
This talk is underrated. It should have had at least 9 million views in 9 years!,talk underrated least million view year
"Sometimes might go with a choice that is indirectly better for mankind or for the world, or whether a choice can be backed out/ reversible (which allows me to drift to another choice if need be)..",sometimes might go choice indirectly better mankind world whether choice backed reversible allows drift another choice need
"This is it guys, today's the day.",guy today day
"Thank you so much! I am facing a hard choice, whether to age in place, or move to a retirement community. These are choices that, for me, seem very much on par. Now I see this as a choice of the person I want to grow into. I think I know now which choice I will make.",thank much facing hard choice whether age place move retirement community choice seem much par see choice person want grow think know choice make
Good talk!,good talk
"You cannot talk about choices w/out considering if you have enough money. Yes, if you don't have enough money, you don't get to make the best choice for yourself.",talk choice wout considering enough money yes dont enough money dont get make best choice
"great ideas, great video. Thank you!",great idea great video thank
"If the person I want to be, can be potentially found in both options - then the question is, which of those options get's you there in an easier/better way ? Then it comes back to comparing both options logically .. ;)",person want potentially found option question option get easierbetter way come back comparing option logically
Why can’t school have this kind of talk and stuff instead of brining drag gay queens SMFH,cant school kind talk stuff instead brining drag gay queen smfh
"I watched this video 9 years ago when I was a college student, and until now it's still eye-opening for me. It reminds me that a hard choice is not a challenge to hinder us, it is a chance to define who we are. We have control over it, rather than let it control our decisions.",watched video year ago college student still eyeopening reminds hard choice challenge hinder u chance define control rather let control decision
"Ma'am, Will you please help me get a clarity on the difference between the 'same league of value' & ' different kind of value' with an example?",maam please help get clarity difference league value different kind value example
"Choices May be On par
but which Are you For?
This was so Helpful At The Right Time....Thank you so much ......Much Gratitude & Many Blessings",choice may par helpful right timethank much much gratitude many blessing
the examples are not choices rather options,example choice rather option
"I saw Esther Perel! My fav, and this talk is just amazing!!",saw esther perel fav talk amazing
"Podria haber resumido diciendo desde el inicio, hagan lo que les de la gana",podria haber resumido diciendo desde el inicio hagan lo que le de la gana
Yeah they teach us the same thing in script writing,yeah teach u thing script writing
12:04 hihi :>,hihi
Probably one of the best/most influential Ted talks I have ever listened to.,probably one bestmost influential ted talk ever listened
Thank you for giving me the answer of what I already knew I should persue!,thank giving answer already knew persue
"THESE are the DEFINING MOMENTS in our Lives!

Instinctively, we know it, but it's the fear from the evil one that  holds us back in these most important, rarest, most momentous instances in our lives!

We either TAKE A LEAP OF FAITH for WHAT WE BELIEVE IN, which is UNDERPINNED by our Hod-Hiven Talents we are REQUIRED BY HIM TO MULTIPLY, and ENTER INTO OUR DESTINY, awaiting us

RIGHT HERE & RIGHT NOW at THIS VERY CROSSROAD. . . .

or COP OUT, and live a LIFE OF MEDIOCRITY, 

where we are SURE TO BE  SECURE..... 

but NEVER  FULFILLED

For we have in this Very Moment CHOSEN to BURY OUR TALENTS

- AND DID!

+Q-S/",defining moment life instinctively know fear evil one hold u back important rarest momentous instance life either take leap faith believe underpinned hodhiven talent required multiply enter destiny awaiting u right right crossroad cop live life mediocrity sure secure never fulfilled moment chosen bury talent q
This insight upends the conventional view of decision-making as a stressful task. Chang eloquently communicated that these choices are not just about selecting between options but also defining who we are as individuals. These decision-making moments are indeed opportunities to manifest our values. It's a beautiful sentiment and a mindset I'll carry into future decisions.,insight upends conventional view decisionmaking stressful task chang eloquently communicated choice selecting option also defining individual decisionmaking moment indeed opportunity manifest value beautiful sentiment mindset ill carry future decision
"This was really helpful. I've been battling between a really tough choice for the past two months, and pros/cons and over analysis have not helped. This has.",really helpful ive battling really tough choice past two month proscons analysis helped
"Creo que la decisión más difícil para la mayoría es dejar de hacer estupideces, siempre eligen hacer estupideces ""sólo una vez más""",creo que la decisin m difcil para la mayora e dejar de hacer estupideces siempre eligen hacer estupideces slo una vez m
"Oh my god this video helped me so much, I cried, this is so what I needed. THANK YOU",oh god video helped much cried needed thank
"All things being equal this talk makes a lot of sense. However what is not mentioned here is first you must survive and to do that you need income. We are faced with the obligation to do whatever work we can obtain to put food in our stomachs. While remembering that we do not live to put food in our stomachs we live to put nourishment into our souls. Do what you have to do but be focused on being who you are. Becoming who you are is what we live for. But we get caught up don't we. We start identifying with our menial work and we start believing that is all we are. Which is not so! Suppose I want to be a yacht builder but I have no skills to build. I must eat. So I take a job that I can do to get food and I use the rest of my time working on becoming a yacht builder. This is the way. But maybe not... Perhaps I should become a yacht builder today and hope that the journey will bear fruit along the way, enough to keep me supported. At the core of this, use these things to sharpen your mind.",thing equal talk make lot sense however mentioned first must survive need income faced obligation whatever work obtain put food stomach remembering live put food stomach live put nourishment soul focused becoming live get caught dont start identifying menial work start believing suppose want yacht builder skill build must eat take job get food use rest time working becoming yacht builder way maybe perhaps become yacht builder today hope journey bear fruit along way enough keep supported core use thing sharpen mind
"Very powerful and life changing advice that I am going to stick to (or rather have already stuck to but never knew the right words for it) -  “Reflect on what you can put your agency behind, in what you can be for, and through Hard choices, become that person”. Thanks for this amazing message and tech talk 🙏😊",powerful life changing advice going stick rather already stuck never knew right word reflect put agency behind hard choice become person thanks amazing message tech talk
Was that woman in the audience in 12:20 Esther Perez?.,woman audience esther perez
Brilliant!,brilliant
So the next question is how do I align my behavior with my values? That can be difficult with thoughts and emotions....,next question align behavior value difficult thought emotion
"I am putting my agency first! I am for this, I am for that! 
Thank you! It’s clear now!!! For the past 30 years I have the traditional methods, not paying attention for what I am for..",putting agency first thank clear past year traditional method paying attention
"Coming back to this after 8 years, just to sharpen my brain",coming back year sharpen brain
amazinngggggggggggggggggggggggggggggggggggg,amazinngggggggggggggggggggggggggggggggggggg
3:09 felt,felt
"Ah, the days when Netflix sent you DVDs in the mail .",ah day netflix sent dvd mail
I come back to this video frequently because of how helpful it is. Thank you for the Ted Talk.,come back video frequently helpful thank ted talk
but what about when all your choices seem like bad options,choice seem like bad option
Wow such a God sent ! This is the best speech on this topic I have ever heard this helped me to really decide and process hard decision I have been battling . Thank You !,wow god sent best speech topic ever heard helped really decide process hard decision battling thank
it's 2023 and still no Netflix DvD with our lives in each choice,still netflix dvd life choice
"I loved the fact she mentioned how we have started evaluating life decisions according to scientific thinking. That's a real eye-opener. Decisions of life are not like length or mass that are measurable as less, more or equal. We may equate it with money but still the choices are still abstract, that's why they're hard. Simply put, hard choices are meant for you to choose what kind of life you want to ""create""",loved fact mentioned started evaluating life decision according scientific thinking thats real eyeopener decision life like length mass measurable less equal may equate money still choice still abstract thats theyre hard simply put hard choice meant choose kind life want create
She is a grwat philosopher,grwat philosopher
"Interesting approach. I can't agree, however. I feel like the message is to just make up whatever you want in order to justify a hard choice. This might be okay for a choice that affects only you, but do we want to empower our leaders to operate this way. I don't. Choices that are hard are not incomparable.  They are hard because there are either competing objectives at play, uncertainty in the consequences or outcomes of each possible alternative, or a struggle between the trade-offs that would result from the choice. You can compare them using multiple objective analyses which are designed to address this very difficulty of bringing competing values into the decision. While there may not be a ""best"" choice in a traditional sense, there most certainly is an ""optimal"" choice if you work hard at defining all of the different fundamental objectives underlying the decision as step 1 (even and especially those objectives that compete with one another) rather than just calling the decision hard and leaving it at that.  Being an artist might be better on life fulfillment and worse on financial stability, but how we value life fulfillment in comparison to financial stability and our risk tolerance come into play to help show that one choice really is optimal over another, depending on how these values are held by the decision-maker.",interesting approach cant agree however feel like message make whatever want order justify hard choice might okay choice affect want empower leader operate way dont choice hard incomparable hard either competing objective play uncertainty consequence outcome possible alternative struggle tradeoff would result choice compare using multiple objective analysis designed address difficulty bringing competing value decision may best choice traditional sense certainly optimal choice work hard defining different fundamental objective underlying decision step even especially objective compete one another rather calling decision hard leaving artist might better life fulfillment worse financial stability value life fulfillment comparison financial stability risk tolerance come play help show one choice really optimal another depending value held decisionmaker
"""Far from being sources of agony and dread, hard choices are precious opportunities for us to celebrate what is special about the human condition, that the reasons that govern our choices as correct or incorrect sometimes run out. And it is in the space of hard choices that we create reasons for ourselves to become the people that we are. And that's why hard choices are not a curse, but a godsend.""",far source agony dread hard choice precious opportunity u celebrate special human condition reason govern choice correct incorrect sometimes run space hard choice create reason become people thats hard choice curse godsend
The best 15 minutes I spent this week.,best minute spent week
Yeah Coin Flip will do,yeah coin flip
"I can cope with most of the hard choices, except being married or not married. I love someone and I spent a lot of years with her. She wants to get married now, but sometimes I think that she is not the right person, and sometimes I think that she is the best person for getting married. Also, both of our time is very limited for that decision due to some career reasons. I fear that my decisions will become my mistakes one day in the future in retrospect. Also, I think about her life with big mercy. Like, what will she do after me, could she get married(because of some old memories)? On the other hand, I sometimes feel bad about her personal attitude as she fights a lot and makes things big. Therefore, I think getting married to her can be a disaster. 

It is the hardest choice in my life...  How can I overcome this?",cope hard choice except married married love someone spent lot year want get married sometimes think right person sometimes think best person getting married also time limited decision due career reason fear decision become mistake one day future retrospect also think life big mercy like could get marriedbecause old memory hand sometimes feel bad personal attitude fight lot make thing big therefore think getting married disaster hardest choice life overcome
Mr. Nobody,mr nobody
"Finally, I can make hard choices easily. This video is gem.",finally make hard choice easily video gem
I love that she applies math to decision making 😊,love applies math decision making
Might be like the 10th time I find myself watching this.,might like th time find watching
"Love the talk, years later for a re-watch. I agree, either unknowingly or instinctively I made choices that aligned with my values. I write down my values and review them to see if my path is still true.  Extrinsic vs intrinsic rewards can cloud the way but I realized I am most content when I choose which best aligns with my values.   
Years ago, with math and economics degree I had the opportunity to work on Wall Street, but I chose computer technology b/c that was my hobby as a kid. So, I chose to work at cancer hospital in technology. While I realized either choice would not necessarily be a wrong one I found my choice to be aligned best with who I am. I wish everyone much love and to enjoy your short visit in this life.",love talk year later rewatch agree either unknowingly instinctively made choice aligned value write value review see path still true extrinsic v intrinsic reward cloud way realized content choose best aligns value year ago math economics degree opportunity work wall street chose computer technology bc hobby kid chose work cancer hospital technology realized either choice would necessarily wrong one found choice aligned best wish everyone much love enjoy short visit life
This is fantastic lesson! Also what a pleasant surprise to see Esther Perel sitting among the audience and totally enjoying this talk!,fantastic lesson also pleasant surprise see esther perel sitting among audience totally enjoying talk
I want this to help but I am still so stuck. I'll watch again and hope.,want help still stuck ill watch hope
"This is really interesting, wish I found it sooner.",really interesting wish found sooner
I can't belive I've waited this long to figure out what questions to ask. You answered it. Thank you. God bless you,cant belive ive waited long figure question ask answered thank god bless
this is so accurate i mean she was right about using science in making decisions by draw a line between 2 of them and choose one because it gives better option or it's more safe to do that way isn't the best way  to make good decision it is just depend  on us who we are giving out the best reasons to choose it,accurate mean right using science making decision draw line choose one give better option safe way isnt best way make good decision depend u giving best reason choose
This has been very helpful. Thank you.,helpful thank
10:30 best part starts,best part start
"I come here and watch this video every time I am faced with a decision that could affect the course of my life. And each time I remind myself to be true to myself and the person that I am (or that I choose to be). I firmly believe that the way we choose to approach what we live really does make a difference. I am eternally grateful to have seen this video by chance all those years ago and to be able to see it again today. 

I would like to wish the best of luck to all those who find themselves in the position of having to make a ""difficult choice"". I hope you always have the strength and courage to choose what is true for yourself.",come watch video every time faced decision could affect course life time remind true person choose firmly believe way choose approach live really make difference eternally grateful seen video chance year ago able see today would like wish best luck find position make difficult choice hope always strength courage choose true
what if your not even sure what each choice is,even sure choice
ROY IDORIA GRADE 12 ICT MAGALLANES SORSOGON PINAKA GWAPO SA BARANGAY PANTALAN UWU,roy idoria grade ict magallanes sorsogon pinaka gwapo sa barangay pantalan uwu
"Always choose the tough option, you will never regret, and by doing so, if you loose, then know that it's not the end, for  victory is the only end",always choose tough option never regret loose know end victory end
"power to create reasons
author of own life",power create reason author life
"Very good talk, helped me a lot!",good talk helped lot
This brought a fucking tear to my eye... THANK YOU SO MUCH,brought fucking tear eye thank much
This is an AMAZING talk.,amazing talk
The speaker goes in circles for 14 minutes leaving viewers forced to incapacitate themselves. Speaker should've stuck wit her laywer job so that I wouldn't have to make the hard choice of killing myself or not after watching this vid.,speaker go circle minute leaving viewer forced incapacitate speaker shouldve stuck wit laywer job wouldnt make hard choice killing watching vid
"This ted talk is fucking abysmal she goes in circles about hard choices and why a decision is considered a ""hard choice."" Nothing really profound here at all. Kind of seemed like intangible derivative word-vomit disguised by smooth delivery and a confident tone.",ted talk fucking abysmal go circle hard choice decision considered hard choice nothing really profound kind seemed like intangible derivative wordvomit disguised smooth delivery confident tone
"""A world full of only easy choices would enslave us to reason""",world full easy choice would enslave u reason
Just ask the inner child*,ask inner child
"I'm vacillating between staying in same place or move to other countries
Thank you so much for this 🙏",im vacillating staying place move country thank much
but the case is even both alternatives are good enough and you will always have profit,case even alternative good enough always profit
"Realmente no entendí esto completamente hasta que vi la segunda vez. La primera vez no me resultó muy útil. En realidad es bastante profundo. Deje de lado la lista de pros y contras y la interminable comparación y análisis de cada característica. Deja ir el miedo y de tomar la ruta más segura y fácil. Decide quién quieres ser y para qué quieres vivir, y luego elige lo que te acerque a eso. Y celebra las decisiones difíciles como oportunidades para definirte a ti mismo y a tu vida.",realmente entend esto completamente hasta que vi la segunda vez la primera vez result muy til en realidad e bastante profundo deje de lado la lista de pro contra la interminable comparacin anlisis de cada caracterstica deja ir el miedo de tomar la ruta m segura fcil decide quin quieres ser para qu quieres vivir luego elige lo que te acerque eso celebra la decisiones difciles como oportunidades para definirte ti mismo tu vida
"Valla mierda aun no se ingles. Tampoco dijo como tomar buenas opciones, solo dijo que existen opciones buenas y malas pero no es para tomarlas para tanto.",valla mierda aun se ingles tampoco dijo como tomar buenas opciones solo dijo que existen opciones buenas malas pero e para tomarlas para tanto
When ever I'm in a hard choice. I will watch this video. Thanks:)),ever im hard choice watch video thanks
How about you just keep adding in options until one new one is cleanly better than the prior ones. Haha,keep adding option one new one cleanly better prior one haha
"I listened to this talk so many times.  It has changed my life.  Every time I listened to it, I gleaned different layers of depths and insights into decision making and into myself - what I value, what is really important to me.   It helped me ""crack"" this person called ""myself"" 😊. Thank you so mucb Ruth 🙏🙏",listened talk many time changed life every time listened gleaned different layer depth insight decision making value really important helped crack person called thank mucb ruth
"What if you choose based on who you feel you are/ want to become, and it still doesn't work out, based on factors you couldn't foresee: an example, a few years ago I adopted a ten year old rescue dog, it was taking a leap of faith because I have 5 beloved cats at home (but love dogs and used to have them until they died of old age) -- I brought the rescue dog home and it became clear, despite going about the introductions in as slow a way as I had read was necessary/ separating them but allowing them to see one another etc., the dog would have killed my cats (despite being told at the shelter he was good with cats). I contacted a trainer to see what was possible and she said it was unsafe since the dog was older, this cat reactivity was unlikely to change and even if it could it would be a long stressful time for the cats and the dog, and I should bring the dog back to the shelter. This was something unimaginable but what I ended up having to do for the safety of my cats and also so the dog could have a chance at a loving, cat free home. Now, if I want to try to adopt a dog again, and choose based on who I am/ want to become, which is an animal lover who wants to say ""yes"" to animals who need a home as long as I can keep up with all their needs, I have this past experience that tells me, you can choose based on your own becoming but it doesn't necessarily mean it will feel like the better choice once the unforeseens become visible. Yes, any experience is growthful, but I guess I wish the speaker could have spoken a bit to this kind of thing, the unforeseens....",choose based feel want become still doesnt work based factor couldnt foresee example year ago adopted ten year old rescue dog taking leap faith beloved cat home love dog used died old age brought rescue dog home became clear despite going introduction slow way read necessary separating allowing see one another etc dog would killed cat despite told shelter good cat contacted trainer see possible said unsafe since dog older cat reactivity unlikely change even could would long stressful time cat dog bring dog back shelter something unimaginable ended safety cat also dog could chance loving cat free home want try adopt dog choose based want become animal lover want say yes animal need home long keep need past experience tell choose based becoming doesnt necessarily mean feel like better choice unforeseens become visible yes experience growthful guess wish speaker could spoken bit kind thing unforeseens
If you are watching this in 2022. Look both ways movie on Netflix is the perfect example. Looks to me like the writer of the movie watched this YouTube video 🫠,watching look way movie netflix perfect example look like writer movie watched youtube video
"Ruth Chang says that hard choices are hard because none of the alternatives is way better than the other. Therefore, even small choices can be hard. Whether to have chocolate ice cream or creme brulee can be a very hard choice indeed, if I like them both and if I am craving for sweets at that moment.  So what do we do? We take the safest option.

We decide to become engineers than artists because statistically, the probability of getting a job as an engineer is higher than that of an artist. So, we take the safest option, because we fear that we are too stupid to understand the better option if the choice to make is hard. We prefer not to take any risks and we go for the option that is rationally comforting.

This is the very mistake we make. Remember, in hard choices no option is better than the other. We simply do not know…How can we know that engineering makes us happier in our future lives? Unfortunately, there are no fast forward and rewind buttons for life. So, does it really make sense to conclude that engineering is the better option? It's not and whether we like it or not at the end of the day hard choice is the only way to make our life easier. How ironic.",ruth chang say hard choice hard none alternative way better therefore even small choice hard whether chocolate ice cream creme brulee hard choice indeed like craving sweet moment take safest option decide become engineer artist statistically probability getting job engineer higher artist take safest option fear stupid understand better option choice make hard prefer take risk go option rationally comforting mistake make remember hard choice option better simply knowhow know engineering make u happier future life unfortunately fast forward rewind button life really make sense conclude engineering better option whether like end day hard choice way make life easier ironic
"Ruth Chang says that there is something we have misunderstood about hard choices. These are not a source of agony, a reason for sorrowful days or sleepless nights. Instead, these are chances for us to personally grow as human beings. “Understanding hard choices helps us uncover a hidden power that each one of us possesses.”",ruth chang say something misunderstood hard choice source agony reason sorrowful day sleepless night instead chance u personally grow human being understanding hard choice help u uncover hidden power one u possesses
"Don't try to make the right decision, make the decision right.",dont try make right decision make decision right
How to make hard choices? Shouldn't we be asking men this question? 🤣 😧,make hard choice shouldnt asking men question
This was really a very inspiring talk and I‘m truly amazed by it. And I believe that in the future I will be able to think that way about hard choices. Unfortunately I still can’t make the one I‘m struggling with right now. The safe option is not a 100% what I really want but it would be the most logical one. On the other hand the option that I fear in some ways would mean giving up everything and I think this one could be the one I could regret. So I can either choose something I know I won’t be really happy about or I can choose the one that I might regret,really inspiring talk im truly amazed believe future able think way hard choice unfortunately still cant make one im struggling right safe option really want would logical one hand option fear way would mean giving everything think one could one could regret either choose something know wont really happy choose one might regret
"Brilliant 👏 👏 
Ask yourself  a simple  question: Is the choice  you are about  to make will expand you and you will  grow?

Then ask yourself  another  one:
What will I  do  if I have 6 months  to live?
... same answer don't  think so...

What If you  eventually  understand  that   the choice  you are about  to make has already been  done by you in another  parallel  reality ? Actually  you finally  got it you just imagine  you have  a choice.  Well  you don't.

Have  a  lovely  day to all of us",brilliant ask simple question choice make expand grow ask another one month live answer dont think eventually understand choice make already done another parallel reality actually finally got imagine choice well dont lovely day u
Thank you for this video,thank video
I dont think she really answer the questions,dont think really answer question
I hate how most of the ted talks are like 98% defining the question or problem and the rest 2% is about the answer that i never get to comprehend ughh,hate ted talk like defining question problem rest answer never get comprehend ughh
This was explained really well !,explained really well
"Like Kramer, I too always wanted to be a banker.",like kramer always wanted banker
"Very helpful, was just deciding whether to leave a place or to commute and was making a reasons why not to move, while everyone around me just pushed me to save money. You are changing my life! Thank you",helpful deciding whether leave place commute making reason move everyone around pushed save money changing life thank
"TO HONESTLY KNOW WHO WANT TO BE, YOU NEED TO KNOW WHO YOU CAN BE. TO DO THAT YOU HAVE TO SEE YOURSELF FOR WHO YOU TRULY ARE (EASIER SAID THAN DONE). 
You must honestly answer the question: ""Is this something I have the ability to do well in?"" A 70 year old blind man, choosing to become a blackbelt in Taekwondo will always be a bad/impossible choice.",honestly know want need know see truly easier said done must honestly answer question something ability well year old blind man choosing become blackbelt taekwondo always badimpossible choice
Wow. Just wow. I never thought I would benefit from a TED talk as much as I did from this one. I won't be a drifter. Thank you for sharing your wisdom 🙏,wow wow never thought would benefit ted talk much one wont drifter thank sharing wisdom
"So basically if you know yourself, the choices would be easier.",basically know choice would easier
"Let’s have some Ignatian Discernment, shall we?!",let ignatian discernment shall
"This is wonderful advice, but for some choices money always gets in the way of my decisions",wonderful advice choice money always get way decision
Hay personas que no toman sus propias decisiones y eso también las convierte en lo que son.,hay persona que toman sus propias decisiones eso tambin la convierte en lo que son
"For anyone doing the assignment:
According to the video's content, hard choices give us the power to become who we are.
 TRUE

Facing hard choices is about the best _______ given to us.

ALTERNATIVES

A _______ is the term Ruth Chang uses to describe an individual who allows the world, instead of herself or himself, to write their story of how to make decision.

DRIFTER",anyone assignment according video content hard choice give u power become true facing hard choice best given u alternative term ruth chang us describe individual allows world instead write story make decision drifter
"8 years later this TED talk is what I needed. Deep down we know, we just need to be true to ourself and confident even if it’s scary af",year later ted talk needed deep know need true ourself confident even scary af
Thanks mam I needed it,thanks mam needed
"Wow. Such a paradigm shift in thinking... That the choices we make come from the reasons we give ourselves to make a choice. 

And that drifters (guilty as charged) make choices or have difficulty to based on reasons outside of ourselves (fear, others' expectations, punishment/reward).

I feel like I could watch this multiple times and get something new out of it.",wow paradigm shift thinking choice make come reason give make choice drifter guilty charged make choice difficulty based reason outside fear others expectation punishmentreward feel like could watch multiple time get something new
Thank you Mrs. Chang. What a wonderful speech. Maria Stefanidi,thank mr chang wonderful speech maria stefanidi
Well that was a pointless watch,well pointless watch
No dress sense here.,dress sense
"How about using JWST to check out “Tabby’s Star”? Supposedly, it has a range of 13.5 BILLION light years. If so it should be a very simple answer to be discovered, unless there is something they don’t want us to know like, JWST doesn’t work and was a waste of money, OR maybe, just maybe, astronomy itself is a waste of money, that could be used to actually help people on this planet.",using jwst check tabby star supposedly range billion light year simple answer discovered unless something dont want u know like jwst doesnt work waste money maybe maybe astronomy waste money could used actually help people planet
YOU WILL BECOME THE EARLIN  IN FUTURE.,become earlin future
"A ""Dyson sphere"" is the dumbest astrophysics hypothesis in all of human history. As for this particular star, ""We don't know what is going on, but we're working on finding out,"" is sufficient. 

Maybe it's a fleet of space-busses taking extraterrestrial ""children"" to space-school, and the long pauses between events are Spring and Summer Break? 

That's at least as good a hypothesis as a Dyson sphere.",dyson sphere dumbest astrophysics hypothesis human history particular star dont know going working finding sufficient maybe fleet spacebusses taking extraterrestrial child spaceschool long pause event spring summer break thats least good hypothesis dyson sphere
"The theory of Dyson spheres is at best absurd, at worst, ludicrous.
To think that a civilisation capeable of constructing a mega structure around it's star to capture energy,
Would endeavour to do so, while other forms of limitless energy would be available to that advanced civilisation,
Is plain silly.
We, here, now, are on the verge of fusion energy, limitless cheap energy,
Other more exotic energy will be available within the next one hundred years.
The mere construction around a star would probably use all of the material from dozens of planets, the length of construction measured in thousands of years,
Whatever planets remained in those solar systems would see dramatic, maybe even catastrophic falls in sunlight, weather pattern carnage, and eco systems collapse.
Dyson spheres are nonsense.",theory dyson sphere best absurd worst ludicrous think civilisation capeable constructing mega structure around star capture energy would endeavour form limitless energy would available advanced civilisation plain silly verge fusion energy limitless cheap energy exotic energy available within next one hundred year mere construction around star would probably use material dozen planet length construction measured thousand year whatever planet remained solar system would see dramatic maybe even catastrophic fall sunlight weather pattern carnage eco system collapse dyson sphere nonsense
"Some time ago a telescope observed something taking energy from our sun and there was many hypotheses commentary about that, is the only thing we can do about until nobody remembers the event it’s sad but…",time ago telescope observed something taking energy sun many hypothesis commentary thing nobody remembers event sad
"""Anything that uses a lot of energy produces a lot of heat"" is mentioned 11:04. But this isn't always the case—it depends on how efficiently the energy is converted into the intended form of work.

For example, electric heaters are designed to convert electrical energy directly into heat, so nearly all the energy becomes heat. However, LED lights or electric motors are much more efficient: they convert most of the energy into light or motion, respectively, with minimal heat loss. So while energy usage often correlates with heat production, the relationship depends on the efficiency and purpose of the device.",anything us lot energy produce lot heat mentioned isnt always caseit depends efficiently energy converted intended form work example electric heater designed convert electrical energy directly heat nearly energy becomes heat however led light electric motor much efficient convert energy light motion respectively minimal heat loss energy usage often correlate heat production relationship depends efficiency purpose device
13:35 overlay for triple crosss and death by star child operations CHL all else REDACTED. It never happened SAL AND HAL,overlay triple cross death star child operation chl else redacted never happened sal hal
And I thought Angelina Jolie was the most mysterious star in the Universe 😂🎉,thought angelina jolie mysterious star universe
